atomic_number,period,group,block,symbol,name,appearance,phase,ionRadius,atomic_mass,super_category,category,bondingType,density,cpkHexColor,MeltingPoint,BoilingPoint,molar_heat,HeatCapacity,HeatOfFusion,HeatOfVaporization,CovalentRadius,VanDerWaalsRadius,Electronegativity,OxidationStates,IonizationEnergy,ThermalConductivity,ElectronAffinity,AbundanceCrust,AbundanceUniverse,radioactive,synthetic,YearDiscovered,discovered_by,source,image.url
101,7,3,f,Md,Mendelevium,,Solid,,258,metals,actinide,,,B30DA6,1100,,,,,,,,1.3,3,635,,93.91,0,,yes,yes,1955,"A. Ghiorso, G. Harvey, R. Choppin, S. G. Thompson, G. T. Seaborg (Berkeley Radiation Laboratory)",https://en.wikipedia.org/wiki/Mendelevium,https://images-of-elements.com/s/mendelevium.jpg
102,7,3,f,No,Nobelium,,Solid,,259,metals,actinide,,,BD0D87,1100,,,,,,,,1.3,2,642,,-223.22,0,,yes,yes,1966,"E. D. Donets, V. A. Shchegolev, V. A. Ermakov (JINR Dubna)",https://en.wikipedia.org/wiki/Nobelium,https://images-of-elements.com/nobelium.jpg
103,7,3,d,Lr,Lawrencium,,Solid,,266,metals,actinide,,,C70066,1900,,,,,,,,1.3,3,470,,-30.04,0,,yes,yes,1961,"A. Ghiorso, T. Sikkeland, E. Larsh, M. Latimer (Berkeley Radiation Laboratory)",https://en.wikipedia.org/wiki/Lawrencium,https://images-of-elements.com/lawrencium.jpg
104,7,4,d,Rf,Rutherfordium,,Solid,,267,metals,transition metal,,23.2,CC0059,2400,5800,,,,,,,,"3,4",580,,,0,,yes,yes,1969,"A. Ghiorso et al. (Berkeley Radiation Laboratory), I. Zvara et al. (JINR Dubna)",https://en.wikipedia.org/wiki/Rutherfordium,https://images-of-elements.com/s/rutherfordium.jpg
105,7,5,d,Db,Dubnium,,Solid,,268,metals,transition metal,,29.3,D1004F,,,,,,,,,,5,,,,0,,yes,yes,1970,"A. Ghiorso et al. (Berkeley Radiation Laboratory), V. A. Druin et al. (JINR Dubna)",https://en.wikipedia.org/wiki/Dubnium,https://images-of-elements.com/s/transactinoid.png
106,7,6,d,Sg,Seaborgium,,Solid,,269,metals,transition metal,,35,D90045,,,,,,,,,,"4,6",,,,0,,yes,yes,1974,A. Ghiorso et al. (Berkeley Radiation Laboratory),https://en.wikipedia.org/wiki/Seaborgium,https://images-of-elements.com/s/transactinoid.png
107,7,7,d,Bh,Bohrium,,Solid,,270,metals,transition metal,,37.1,E00038,,,,,,,,,,"3,4,5,7",,,,0,,yes,yes,1981,G.MÃ¼nzenberg et al. (GSI Darmstadt),https://en.wikipedia.org/wiki/Bohrium,https://images-of-elements.com/s/transactinoid.png
108,7,8,d,Hs,Hassium,,Solid,,269,metals,transition metal,,40.7,E6002E,126,,,,,,,,,"2,4,6,8",,,,0,,yes,yes,1984,"G. MÃ¼nzenberg, P. Armbruster et al. (GSI Darmstadt)",https://en.wikipedia.org/wiki/Hassium,https://images-of-elements.com/s/transactinoid.png
109,7,9,d,Mt,Meitnerium,,Solid,,278,metals,"unknown, probably transition metal",,37.4,EB0026,,,,,,,,,,"1,3,6",,,,0,,yes,yes,1982,"G. MÃ¼nzenberg, P. Armbruster et al. (GSI Darmstadt)",https://en.wikipedia.org/wiki/Meitnerium,https://images-of-elements.com/s/transactinoid.png
110,7,10,d,Ds,Darmstadtium,,Solid,,281,metals,"unknown, probably transition metal",,34.8,,,,,,,,,,,"0,2,8",,,,0,,yes,yes,1994,S. Hofmann et al. (GSI Darmstadt),https://en.wikipedia.org/wiki/Darmstadtium,https://images-of-elements.com/s/transactinoid.png
111,7,11,d,Rg,Roentgenium,,Solid,,282,metals,"unknown, probably transition metal",,28.7,,,,,,,,,,,3,,,151,0,,yes,yes,1994,S. Hofmann et al. (GSI Darmstadt),https://en.wikipedia.org/wiki/Roentgenium,https://images-of-elements.com/s/transactinoid.png
112,7,12,d,Cn,Copernicium,,Liquid,,285,metals,transition metal,,14,,,357,,,,,,,,"0,1,2,4",,,,0,,yes,yes,1996,S. Hofmann et al. (GSI Darmstadt),https://en.wikipedia.org/wiki/Copernicium,https://images-of-elements.com/s/transactinoid.png
113,7,13,p,Nh,Nihonium,,Solid,,286,metals,"unknown, probably transition metal",,16,,700,1400,,,,,,,,"1,3",,,66.6,0,,yes,yes,2004,"Y. Oganessian et al. (JINR Dubna), K. Morita et al. (RIKEN Wako, Japan)",https://en.wikipedia.org/wiki/Ununtrium,https://images-of-elements.com/s/transactinoid.png
114,7,14,p,Fl,Flerovium,,Solid,,289,metals,post-transition metal,,14,,340,210,,,,,,,,2,,,,0,,yes,yes,1999,Y. Oganessian et al. (JINR Dubna),https://en.wikipedia.org/wiki/Flerovium,https://images-of-elements.com/s/transactinoid.png
115,7,15,p,Mc,Moscovium,,Solid,,289,metals,"unknown, probably post-transition metal",,13.5,,670,1400,,,,,,,,"1,3",,,35.3,0,,yes,yes,2003,Y. Oganessian et al. (JINR Dubna),https://en.wikipedia.org/wiki/Ununpentium,https://images-of-elements.com/s/transactinoid.png
116,7,16,p,Lv,Livermorium,,Solid,,293,metals,"unknown, probably post-transition metal",,12.9,,709,1085,,,,,,,,2,,,74.9,0,,yes,yes,2000,Y. Oganessian et al. (JINR Dubna),https://en.wikipedia.org/wiki/Livermorium,https://images-of-elements.com/s/transactinoid.png
117,7,17,p,Ts,Tennessine,,Solid,,294,metals,"unknown, probably metalloid",,7.17,,723,883,,,,,,,,"1,3",,,165.9,0,,yes,yes,2009,Y. Oganessian et al. (JINR Dubna),https://en.wikipedia.org/wiki/Tennessine,https://images-of-elements.com/s/transactinoid.png
118,7,18,p,Og,Oganesson,,Solid,,294,metals,"unknown, predicted to be noble gas",,4.95,,,350,,,,,,,,"2,4",,,5.403,0,,yes,yes,2002,Y. Oganessian et al. (JINR Dubna),https://en.wikipedia.org/wiki/Oganesson,https://images-of-elements.com/s/transactinoid.png
119,8,1,s,Uue,Ununennium,,Solid,,315,,"unknown, but predicted to be an alkali metal",,3,,,630,,,,,,,,,,,,,,,,,GSI Helmholtz Centre for Heavy Ion Research,https://en.wikipedia.org/wiki/Ununennium,https://images-of-elements.com/s/transactinoid.png
